filename,program,branch_pattern,cache_pattern,size_tier,predictor_stress_type,expected_dominant_miss_type,backend,compiler,arch,SIZE,N,SEED,warmup_iterations,taken,nottaken,sink,validation,reps,roi_elapsed_seconds_mean,roi_elapsed_seconds_median,roi_elapsed_seconds_stddev,perf_available,instructions_total,cycles_total,branches_total,branch_misses_total,cache_references_total,cache_misses_total,task_clock_ms,context_switches,cpu_migrations,page_faults,time_elapsed,observed_ipc,observed_cpi,observed_branch_miss_rate,observed_cache_miss_rate,observed_branch_density,observed_cache_refs_per_instruction,branches_to_N_ratio,plausible
0022_grid_b01_always_taken__c22_tensor_3d_slice_poor_locality,0022_grid_b01_always_taken__c22_tensor_3d_slice_poor_locality.c,always_taken,tensor_3d_slice_poor_locality,medium_L2,static/trivial,mixed/unclassified,native_host,15.2.0,x86_64,65536,3000000,2654435769,200000,3000000,0,6418740436017024,PASS,5,0.003833587,0.003834823,2.8284e-05,1,78404666.0,16870993.8,3483491.6,7095.2,40824.2,21448.8,0,0.2,0.0,132.0,0.00449,4.64774,0.21518,0.002037,0.524659,0.04443,0.000521,1.16116,1
0023_grid_b01_always_taken__c23_struct_of_array_field_burst,0023_grid_b01_always_taken__c23_struct_of_array_field_burst.c,always_taken,struct_of_array_field_burst,large_L3,static/trivial,compulsory+streaming (prefetch-friendly),native_host,15.2.0,x86_64,1048576,5000000,2654435769,200000,5000000,0,10736121966807893,PASS,5,0.005462033,0.00546533,1.7847e-05,1,115469555.8,31796531.2,7170732.8,7187.6,2279586.2,124077.8,0,0.2,0.0,1091.2,0.00865,3.63172,0.27538,0.001002,0.054431,0.062101,0.019742,1.43414,1
0024_grid_b01_always_taken__c24_banked_interleaved_access,0024_grid_b01_always_taken__c24_banked_interleaved_access.c,always_taken,banked_interleaved_access,xlarge_DRAM,static/trivial,compulsory+streaming (prefetch-friendly),native_host,15.2.0,x86_64,8388608,8000000,2654435769,200000,8000000,0,17172488539491904,PASS,5,0.007145457,0.00711826,0.0001425,1,232840208.0,97248340.2,22773736.8,8999.8,1190562.0,746237.8,0,0.4,0.0,8259.6,0.02657,2.39492,0.41768,0.000395,0.626796,0.097808,0.005113,2.8467,1
0025_grid_b01_always_taken__c25_lru_recency_weighted_reuse,0025_grid_b01_always_taken__c25_lru_recency_weighted_reuse.c,always_taken,lru_recency_weighted_reuse,small_L1,static/trivial,temporal reuse (capacity-sensitive),native_host,15.2.0,x86_64,4096,1000000,2654435769,100000,1000000,0,2090747109580598,PASS,5,0.005704192,0.005701818,5.292e-05,1,34685908.6,24352692.4,2823238.2,485962.4,33041.6,15461.4,0,0.6,0.0,70.4,0.005128,1.42442,0.7021,0.172131,0.469772,0.081394,0.000952,2.82324,1
0026_grid_b01_always_taken__c26_geometric_stride_growth,0026_grid_b01_always_taken__c26_geometric_stride_growth.c,always_taken,geometric_stride_growth,medium_L2,static/trivial,compulsory+streaming (prefetch-friendly),native_host,15.2.0,x86_64,65536,3000000,2654435769,200000,3000000,0,6416356794933191,PASS,5,0.006681858,0.006631583,0.000103966,1,53081830.4,28070076.8,6935889.0,7045.8,40727.4,19153.8,0,0.2,0.0,131.4,0.00747,1.89124,0.52882,0.001016,0.470669,0.130664,0.000767,2.31198,1
0027_grid_b01_always_taken__c27_reduction_broadcast_pattern,0027_grid_b01_always_taken__c27_reduction_broadcast_pattern.c,always_taken,reduction_broadcast_pattern,large_L3,static/trivial,compulsory+streaming (prefetch-friendly),native_host,15.2.0,x86_64,1048576,5000000,2654435769,200000,5000000,0,10989155375769000,PASS,5,0.003071154,0.003066179,6.0348e-05,1,86404892.8,21520132.8,11067130.6,7033.6,431824.0,118038.6,0,0.4,0.0,1091.4,0.005163,4.01852,0.24904,0.000636,0.273312,0.128085,0.004998,2.21342,1
0028_grid_b01_always_taken__c28_morton_zorder_traversal,0028_grid_b01_always_taken__c28_morton_zorder_traversal.c,always_taken,morton_zorder_traversal,xlarge_DRAM,static/trivial,mixed spatial (traversal-order dependent),native_host,15.2.0,x86_64,8388608,8000000,2654435769,200000,8000000,0,17170742578747456,PASS,5,0.030183306,0.030015476,0.000916782,1,541469378.0,186909668.6,39219447.8,10032.8,1321437.6,970872.0,0,0.6,0.0,8259.8,0.051375,2.8978,0.34518,0.000256,0.734755,0.072431,0.002441,4.90242,1
0029_grid_b01_always_taken__c29_ping_pong_cache_thrash,0029_grid_b01_always_taken__c29_ping_pong_cache_thrash.c,always_taken,ping_pong_cache_thrash,small_L1,static/trivial,conflict/associativity,native_host,15.2.0,x86_64,4096,1000000,2654435769,100000,1000000,0,2136453275188992,PASS,5,0.000841794,0.000841148,1.4757e-05,1,19032376.2,4567057.0,2361049.4,6676.6,27605.6,14051.8,0,0.0,0.0,69.8,0.001765,4.17182,0.23996,0.002828,0.509295,0.124054,0.00145,2.36102,1
0030_grid_b01_always_taken__c30_gather_scatter_indirect_table,0030_grid_b01_always_taken__c30_gather_scatter_indirect_table.c,always_taken,gather_scatter_indirect_table,medium_L2,static/trivial,capacity (uniform random),native_host,15.2.0,x86_64,65536,3000000,2654435769,200000,3000000,0,6382179536127712,PASS,5,0.002782566,0.00278428,8.6458e-05,1,46420684.0,12695568.6,3486099.8,7207.8,42532.4,22107.8,0,0.2,0.0,134.4,0.003273,3.65922,0.2735,0.002067,0.518834,0.075098,0.000916,1.16206,1
0031_grid_b01_always_taken__c31_fibonacci_stride,0031_grid_b01_always_taken__c31_fibonacci_stride.c,always_taken,fibonacci_stride,large_L3,static/trivial,compulsory+streaming (prefetch-friendly),native_host,15.2.0,x86_64,1048576,5000000,2654435769,200000,5000000,0,10735083255328282,PASS,5,0.009835246,0.009670149,0.000446262,1,115629099.4,50229803.6,7198847.2,7823.2,3920552.2,133300.4,0,0.4,0.0,1091.2,0.013296,2.3071,0.43442,0.001087,0.033987,0.062258,0.033906,1.43978,1
