filename,program,branch_pattern,cache_pattern,size_tier,predictor_stress_type,expected_dominant_miss_type,backend,compiler,arch,SIZE,N,SEED,warmup_iterations,taken,nottaken,sink,validation,reps,roi_elapsed_seconds_mean,roi_elapsed_seconds_median,roi_elapsed_seconds_stddev,perf_available,instructions_total,cycles_total,branches_total,branch_misses_total,cache_references_total,cache_misses_total,task_clock_ms,context_switches,cpu_migrations,page_faults,time_elapsed,observed_ipc,observed_cpi,observed_branch_miss_rate,observed_cache_miss_rate,observed_branch_density,observed_cache_refs_per_instruction,branches_to_N_ratio,plausible,instruction_count_source
025_b03_alternating__c05_random_small_working_set,025_b03_alternating__c05_random_small_working_set.c,alternating,random_small_working_set,large_L3,static/periodic,temporal reuse (capacity-sensitive),qemu_user_mode,15.2.0,riscv64,1048576,5000000,2654435769,200000,2500000,2500000,2715123883280016,PASS,1,0.013288196,0.013288196,0.0,0,,,,,,,,,,,,,,,,,,,0,qemu_guest_none
026_b03_alternating__c06_random_full_working_set,026_b03_alternating__c06_random_full_working_set.c,alternating,random_full_working_set,xlarge_DRAM,static/periodic,capacity (uniform random),qemu_user_mode,15.2.0,riscv64,8388608,8000000,2654435769,200000,4000000,4000000,4297007430132096,PASS,1,0.135900011,0.135900011,0.0,0,,,,,,,,,,,,,,,,,,,0,qemu_guest_none
027_b03_alternating__c07_matrix_row_major,027_b03_alternating__c07_matrix_row_major.c,alternating,matrix_row_major,small_L1,static/periodic,mixed spatial (traversal-order dependent),qemu_user_mode,15.2.0,riscv64,4096,1000000,2654435769,100000,500000,500000,525199041760752,PASS,1,0.008032388,0.008032388,0.0,0,,,,,,,,,,,,,,,,,,,0,qemu_guest_none
028_b03_alternating__c08_matrix_col_major,028_b03_alternating__c08_matrix_col_major.c,alternating,matrix_col_major,medium_L2,static/periodic,mixed spatial (traversal-order dependent),qemu_user_mode,15.2.0,riscv64,65536,3000000,2654435769,200000,1500000,1500000,1614834661968960,PASS,1,0.023907381,0.023907381,0.0,0,,,,,,,,,,,,,,,,,,,0,qemu_guest_none
029_b03_alternating__c09_matrix_tiled_blocked,029_b03_alternating__c09_matrix_tiled_blocked.c,alternating,matrix_tiled_blocked,large_L3,static/periodic,mixed spatial (traversal-order dependent),qemu_user_mode,15.2.0,riscv64,1048576,5000000,2654435769,200000,2500000,2500000,2689296376871248,PASS,1,0.042820245,0.042820245,0.0,0,,,,,,,,,,,,,,,,,,,0,qemu_guest_none
030_b03_alternating__c10_pointer_chase_linked_list,030_b03_alternating__c10_pointer_chase_linked_list.c,alternating,pointer_chase_linked_list,xlarge_DRAM,static/periodic,"compulsory+latency-bound (dependent loads, no prefetch)",qemu_user_mode,15.2.0,riscv64,8388608,8000000,2654435769,200000,4000000,4000000,4292346082621064,PASS,1,0.799260744,0.799260744,0.0,0,,,,,,,,,,,,,,,,,,,0,qemu_guest_none
031_b04_periodic3__c01_sequential_unit_stride,031_b04_periodic3__c01_sequential_unit_stride.c,periodic3,sequential_unit_stride,xlarge_DRAM,static/periodic,compulsory+streaming (prefetch-friendly),qemu_user_mode,15.2.0,riscv64,8388608,8000000,2654435769,200000,5333333,2666667,8590274260940092,PASS,1,0.023088304,0.023088304,0.0,0,,,,,,,,,,,,,,,,,,,0,qemu_guest_none
032_b04_periodic3__c02_sequential_wraparound_large,032_b04_periodic3__c02_sequential_wraparound_large.c,periodic3,sequential_wraparound_large,small_L1,static/periodic,compulsory+streaming (prefetch-friendly),qemu_user_mode,15.2.0,riscv64,4096,1000000,2654435769,100000,666666,333334,1068155895551304,PASS,1,0.003117753,0.003117753,0.0,0,,,,,,,,,,,,,,,,,,,0,qemu_guest_none
033_b04_periodic3__c03_fixed_stride_small,033_b04_periodic3__c03_fixed_stride_small.c,periodic3,fixed_stride_small,medium_L2,static/periodic,compulsory+streaming (prefetch-friendly),qemu_user_mode,15.2.0,riscv64,65536,3000000,2654435769,200000,2000000,1000000,3211886018145079,PASS,1,0.009198755,0.009198755,0.0,0,,,,,,,,,,,,,,,,,,,0,qemu_guest_none
034_b04_periodic3__c04_fixed_stride_large,034_b04_periodic3__c04_fixed_stride_large.c,periodic3,fixed_stride_large,large_L3,static/periodic,compulsory+streaming (prefetch-friendly),qemu_user_mode,15.2.0,riscv64,1048576,5000000,2654435769,200000,3333333,1666667,5364353110548004,PASS,1,0.025123036,0.025123036,0.0,0,,,,,,,,,,,,,,,,,,,0,qemu_guest_none
035_b04_periodic3__c05_random_small_working_set,035_b04_periodic3__c05_random_small_working_set.c,periodic3,random_small_working_set,xlarge_DRAM,static/periodic,temporal reuse (capacity-sensitive),qemu_user_mode,15.2.0,riscv64,8388608,8000000,2654435769,200000,5333333,2666667,8545777980104066,PASS,1,0.027796483,0.027796483,0.0,0,,,,,,,,,,,,,,,,,,,0,qemu_guest_none
036_b04_periodic3__c06_random_full_working_set,036_b04_periodic3__c06_random_full_working_set.c,periodic3,random_full_working_set,small_L1,static/periodic,capacity (uniform random),qemu_user_mode,15.2.0,riscv64,4096,1000000,2654435769,100000,666666,333334,1068347839761913,PASS,1,0.003506332,0.003506332,0.0,0,,,,,,,,,,,,,,,,,,,0,qemu_guest_none
037_b04_periodic3__c07_matrix_row_major,037_b04_periodic3__c07_matrix_row_major.c,periodic3,matrix_row_major,medium_L2,static/periodic,mixed spatial (traversal-order dependent),qemu_user_mode,15.2.0,riscv64,65536,3000000,2654435769,200000,2000000,1000000,3208895803491702,PASS,1,0.032218808,0.032218808,0.0,0,,,,,,,,,,,,,,,,,,,0,qemu_guest_none
038_b04_periodic3__c08_matrix_col_major,038_b04_periodic3__c08_matrix_col_major.c,periodic3,matrix_col_major,large_L3,static/periodic,mixed spatial (traversal-order dependent),qemu_user_mode,15.2.0,riscv64,1048576,5000000,2654435769,200000,3333333,1666667,5367155209195799,PASS,1,0.056964868,0.056964868,0.0,0,,,,,,,,,,,,,,,,,,,0,qemu_guest_none
039_b04_periodic3__c09_matrix_tiled_blocked,039_b04_periodic3__c09_matrix_tiled_blocked.c,periodic3,matrix_tiled_blocked,xlarge_DRAM,static/periodic,mixed spatial (traversal-order dependent),qemu_user_mode,15.2.0,riscv64,8388608,8000000,2654435769,200000,5333333,2666667,8590212220811644,PASS,1,0.08664288,0.08664288,0.0,0,,,,,,,,,,,,,,,,,,,0,qemu_guest_none
040_b04_periodic3__c10_pointer_chase_linked_list,040_b04_periodic3__c10_pointer_chase_linked_list.c,periodic3,pointer_chase_linked_list,small_L1,static/periodic,"compulsory+latency-bound (dependent loads, no prefetch)",qemu_user_mode,15.2.0,riscv64,4096,1000000,2654435769,100000,666666,333334,1070850775171740,PASS,1,0.003429666,0.003429666,0.0,0,,,,,,,,,,,,,,,,,,,0,qemu_guest_none
041_b05_periodic8_biased__c01_sequential_unit_stride,041_b05_periodic8_biased__c01_sequential_unit_stride.c,periodic8_biased,sequential_unit_stride,small_L1,static/periodic,compulsory+streaming (prefetch-friendly),qemu_user_mode,15.2.0,riscv64,4096,1000000,2654435769,100000,625000,375000,920913579955264,PASS,1,0.002754688,0.002754688,0.0,0,,,,,,,,,,,,,,,,,,,0,qemu_guest_none
042_b05_periodic8_biased__c02_sequential_wraparound_large,042_b05_periodic8_biased__c02_sequential_wraparound_large.c,periodic8_biased,sequential_wraparound_large,medium_L2,static/periodic,compulsory+streaming (prefetch-friendly),qemu_user_mode,15.2.0,riscv64,65536,3000000,2654435769,200000,1875000,1125000,2794398407375496,PASS,1,0.008705737,0.008705737,0.0,0,,,,,,,,,,,,,,,,,,,0,qemu_guest_none
043_b05_periodic8_biased__c03_fixed_stride_small,043_b05_periodic8_biased__c03_fixed_stride_small.c,periodic8_biased,fixed_stride_small,large_L3,static/periodic,compulsory+streaming (prefetch-friendly),qemu_user_mode,15.2.0,riscv64,1048576,5000000,2654435769,200000,3125000,1875000,4717546347940504,PASS,1,0.015230034,0.015230034,0.0,0,,,,,,,,,,,,,,,,,,,0,qemu_guest_none
044_b05_periodic8_biased__c04_fixed_stride_large,044_b05_periodic8_biased__c04_fixed_stride_large.c,periodic8_biased,fixed_stride_large,xlarge_DRAM,static/periodic,compulsory+streaming (prefetch-friendly),qemu_user_mode,15.2.0,riscv64,8388608,8000000,2654435769,200000,5000000,3000000,7512281815788064,PASS,1,0.075263053,0.075263053,0.0,0,,,,,,,,,,,,,,,,,,,0,qemu_guest_none
045_b05_periodic8_biased__c05_random_small_working_set,045_b05_periodic8_biased__c05_random_small_working_set.c,periodic8_biased,random_small_working_set,small_L1,static/periodic,temporal reuse (capacity-sensitive),qemu_user_mode,15.2.0,riscv64,4096,1000000,2654435769,100000,625000,375000,956001584724520,PASS,1,0.002909475,0.002909475,0.0,0,,,,,,,,,,,,,,,,,,,0,qemu_guest_none
