run_dir,program,backend,cpu_type,bp_type_raw,l1d_size,l1i_size,l2_size,n_override,stats_available,instructions_total,cycles_total,branches_total,branch_misses_total,dcache_accesses,dcache_misses,icache_accesses,icache_misses,l2_accesses,l2_misses,sim_seconds,observed_ipc,observed_cpi,observed_branch_miss_rate,observed_cache_miss_rate,observed_icache_miss_rate,unmatched_metrics
264_b27_meta_correlated_nested__c24_banked_interleaved_access,264_b27_meta_correlated_nested__c24_banked_interleaved_access,gem5,AtomicSimpleCPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,611699.0,817236.0,0.0,0.0,121029.0,1357.0,817160.0,473.0,1831.0,1784.0,0.000409,0.7485,1.336,0.0,0.011212,0.000579,branches_total;branch_misses_total
265_b27_meta_correlated_nested__c25_lru_recency_weighted_reuse,265_b27_meta_correlated_nested__c25_lru_recency_weighted_reuse,gem5,AtomicSimpleCPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,834911.0,1135231.0,0.0,0.0,156188.0,1360.0,1135153.0,473.0,1834.0,1783.0,0.000568,0.7355,1.3597,0.0,0.008707,0.000417,branches_total;branch_misses_total
266_b27_meta_correlated_nested__c26_geometric_stride_growth,266_b27_meta_correlated_nested__c26_geometric_stride_growth,gem5,AtomicSimpleCPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,593291.0,707484.0,0.0,0.0,121014.0,1366.0,707408.0,476.0,1843.0,1794.0,0.000354,0.8386,1.1925,0.0,0.011288,0.000673,branches_total;branch_misses_total
267_b27_meta_correlated_nested__c27_reduction_broadcast_pattern,267_b27_meta_correlated_nested__c27_reduction_broadcast_pattern,gem5,AtomicSimpleCPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,608303.0,726735.0,0.0,0.0,121061.0,1357.0,726659.0,472.0,1830.0,1783.0,0.000363,0.837,1.1947,0.0,0.011209,0.00065,branches_total;branch_misses_total
268_b27_meta_correlated_nested__c28_morton_zorder_traversal,268_b27_meta_correlated_nested__c28_morton_zorder_traversal,gem5,AtomicSimpleCPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,1108966.0,1345818.0,0.0,0.0,121025.0,1358.0,1345742.0,470.0,1829.0,1781.0,0.000673,0.824,1.2136,0.0,0.011221,0.000349,branches_total;branch_misses_total
269_b27_meta_correlated_nested__c29_ping_pong_cache_thrash,269_b27_meta_correlated_nested__c29_ping_pong_cache_thrash,gem5,AtomicSimpleCPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,603517.0,670286.0,0.0,0.0,120958.0,1364.0,670210.0,471.0,1836.0,1788.0,0.000335,0.9004,1.1106,0.0,0.011277,0.000703,branches_total;branch_misses_total
270_b27_meta_correlated_nested__c30_gather_scatter_indirect_table,270_b27_meta_correlated_nested__c30_gather_scatter_indirect_table,gem5,AtomicSimpleCPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,668124.0,905907.0,0.0,0.0,147243.0,1704.0,905831.0,474.0,2179.0,2047.0,0.000453,0.7375,1.3559,0.0,0.011573,0.000523,branches_total;branch_misses_total
271_b28_data_driven_stack_machine__c21_pyramid_multiresolution_stride,271_b28_data_driven_stack_machine__c21_pyramid_multiresolution_stride,gem5,AtomicSimpleCPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,587071.0,758060.0,0.0,0.0,121162.0,1363.0,757984.0,468.0,1832.0,1781.0,0.000379,0.7744,1.2913,0.0,0.011249,0.000617,branches_total;branch_misses_total
272_b28_data_driven_stack_machine__c22_tensor_3d_slice_poor_locality,272_b28_data_driven_stack_machine__c22_tensor_3d_slice_poor_locality,gem5,AtomicSimpleCPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,596604.0,719365.0,0.0,0.0,121134.0,1360.0,719289.0,450.0,1811.0,1762.0,0.00036,0.8293,1.2058,0.0,0.011227,0.000626,branches_total;branch_misses_total
273_b28_data_driven_stack_machine__c23_struct_of_array_field_burst,273_b28_data_driven_stack_machine__c23_struct_of_array_field_burst,gem5,AtomicSimpleCPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,611392.0,820529.0,0.0,0.0,121115.0,1365.0,820453.0,466.0,1832.0,1783.0,0.00041,0.7451,1.3421,0.0,0.01127,0.000568,branches_total;branch_misses_total
274_b28_data_driven_stack_machine__c24_banked_interleaved_access,274_b28_data_driven_stack_machine__c24_banked_interleaved_access,gem5,AtomicSimpleCPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,609278.0,734052.0,0.0,0.0,121068.0,1369.0,733976.0,452.0,1822.0,1773.0,0.000367,0.83,1.2048,0.0,0.011308,0.000616,branches_total;branch_misses_total
275_b28_data_driven_stack_machine__c25_lru_recency_weighted_reuse,275_b28_data_driven_stack_machine__c25_lru_recency_weighted_reuse,gem5,AtomicSimpleCPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,816756.0,1071692.0,0.0,0.0,156254.0,1357.0,1071614.0,478.0,1836.0,1786.0,0.000536,0.7621,1.3121,0.0,0.008685,0.000446,branches_total;branch_misses_total
276_b28_data_driven_stack_machine__c26_geometric_stride_growth,276_b28_data_driven_stack_machine__c26_geometric_stride_growth,gem5,AtomicSimpleCPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,590887.0,715018.0,0.0,0.0,121053.0,1363.0,714942.0,466.0,1830.0,1781.0,0.000358,0.8264,1.2101,0.0,0.01126,0.000652,branches_total;branch_misses_total
277_b28_data_driven_stack_machine__c27_reduction_broadcast_pattern,277_b28_data_driven_stack_machine__c27_reduction_broadcast_pattern,gem5,AtomicSimpleCPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,582896.0,752715.0,0.0,0.0,121102.0,1370.0,752639.0,458.0,1829.0,1779.0,0.000376,0.7744,1.2913,0.0,0.011313,0.000609,branches_total;branch_misses_total
278_b28_data_driven_stack_machine__c28_morton_zorder_traversal,278_b28_data_driven_stack_machine__c28_morton_zorder_traversal,gem5,AtomicSimpleCPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,1130053.0,1621945.0,0.0,0.0,121065.0,1357.0,1621869.0,461.0,1819.0,1769.0,0.000811,0.6967,1.4353,0.0,0.011209,0.000284,branches_total;branch_misses_total
